,Date,Open,High,Low,Close,Volume,Currency,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr
0,2017-07-18,203.5,205.5,198.75,200.05,6063387.0,INR,-3727860.1555555356,6063387.0,-0.6148148148148115,0.0,0.0,0.0,-829247.6263096299,201.4333333333333,50.0,1000.0,200.05,200.05,200.05,0.0,0.0,0.0,0.0,201.4333333333333,208.1833333333333,194.6833333333333,6.701969220585803,0.39753086419753353,0.0,0.0,198.75,205.5,202.125,3.3741564608847785,0.19259259259259429,0.0,0.0,0.0,0.0,0.0,200.05,200.05,200.05,200.05,0.0,0.0,0.0,-13.593188857782396,1.0,33.64822150363764,-143.98150438262488,-143.98150438262488,0.0,202.125,202.125,202.125,202.125,0.0,0.0,0.0,0.0,0.0,232.27075586095378,230.57471705739664,4.0,4.0,0.0,198.75,207.2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,19.259259259259426,19.259259259259426,-80.74074074074058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.05,-14.39815043826249,0.0,0.0
1,2017-07-19,201.5,203.35,200.55,202.05,5981333.0,INR,-3300622.084126925,12044720.0,-0.27403061956831914,11962666.0,-8.192153822567462,-8.192153822567462,-813217.2015091518,201.70645991078803,100.0,1009.9975006248438,201.05,203.05,199.05,1.9895548371051976,0.75,0.0,0.0,201.70833333333331,206.4833333333333,196.93333333333334,4.73455897541828,0.535776614310649,0.0,0.0,198.75,205.5,202.125,3.3573737876150207,0.4888888888888906,0.0,0.0,0.15954415954416845,0.031908831908833694,0.12763532763533475,201.05,201.05,200.35769230769233,200.19814814814816,0.12026702992092081,0.12941778219751246,-0.00915075227659165,0.0019526368407898026,1.9041262135922326,32.64822150363764,-139.70248166021858,-141.84199302142173,2.139511361203148,202.125,202.125,202.125,202.125,0.0,0.0,0.0,0.0,66.66666666667011,232.27075586095378,230.57471705739664,8.0,4.0,4.0,198.75,207.2,0.0,0.0,100.0,0.0,0.0,0.0,100.0,19.90049751243785,48.888888888889056,34.07407407407424,-51.111111111110944,0.0,0.0,0.07969312454683875,0.01593862490936775,0.063754499637471,-0.108061489246511,-0.0216122978493022,-0.0864491913972088,200.60987895383076,0.9997500624843836,0.9947856221238283,0.9997500624843836
2,2017-07-20,203.0,207.2,202.15,203.0,11753965.0,INR,-11097806.787097234,23798685.0,-0.46632016798815706,11848894.67857141,117.07751384320034,54.44268001031644,115063.24924924357,202.89684021337035,100.0,1009.9975006248438,201.70000000000002,204.1589970855344,199.24100291446564,2.4382717754431114,0.7643354088639501,0.0,0.0,202.5111111111111,207.37777777777774,197.64444444444447,4.806320640842718,0.550228310502284,0.0,0.0,198.75,207.2,202.975,4.189390183440747,0.5029585798816575,0.0,0.0,0.35850845366513795,0.09722875626009456,0.2612796974050434,201.70000000000002,201.70000000000002,200.76420118343196,200.40569272976683,0.25922721278006755,0.1417108763197701,0.11751633646029744,0.006053056012258065,2.802838339517697,31.998221503637637,-136.9211168906545,-140.20170097783264,3.2805840871781413,202.975,202.975,202.975,202.975,0.0,0.0,0.0,0.0,100.00000000000178,232.27075586095378,230.57471705739664,12.0,4.0,8.0,198.75,207.2,1.0,0.0,100.0,0.0,0.0,0.0,100.0,19.40789473684208,50.29585798816575,39.48133537877141,-49.70414201183425,0.0,0.0,0.17889135222748473,0.04852917037299115,0.13036218185449358,6.928165841178966,1.3683433299563517,5.559822511222615,201.33675432305677,0.4701806483543569,0.4690787517304784,1.4746313421644563
3,2017-07-21,204.2,204.4,193.55,196.3,14365117.0,INR,-18181067.24331843,9433568.0,-0.4763955971503686,-3593273.6897959113,-430.52207649961946,-107.21223882632887,-418854.75627880706,201.08500318748818,55.903014775606785,1009.9975006248438,200.35000000000002,205.4885795702704,195.21142042972966,5.129602765430861,0.10592222572249467,0.0,0.0,201.40416666666667,207.76666666666665,195.04166666666669,6.318141382377871,0.09888670595939718,0.0,0.0,193.55,207.2,200.375,6.813077115048653,0.2014652014652018,0.0,0.0,-0.024166341011181203,0.07294973680583941,-0.09711607781702061,200.35000000000002,200.35000000000002,200.0774010013655,200.10156734237668,0.24885608460168102,0.3649889240824654,-0.1161328394807844,0.004862896817258648,3.847527227586305,33.34822150363763,-142.697797565903,-140.82572512485024,-1.872072441052751,200.375,200.375,200.375,200.375,0.0,0.0,0.0,0.0,-133.33333333333334,232.27075586095378,230.57471705739664,12.0,16.0,-4.0,198.75,207.2,0.0,1.0,28.00833287648699,0.0,0.0,0.0,92.75012485433663,21.880998080614198,20.14652014652018,39.77708900785833,-79.85347985347983,0.0,0.0,-0.012077037342657214,0.03640792882986148,-0.04848496617251869,14.283507191600641,3.9513761022852094,10.332131089315432,199.62410191122592,-3.3004926108374355,-3.3561877759371583,-1.8745313671582053
4,2017-07-24,195.8,198.5,193.15,194.05,7204958.0,INR,-22961927.224626824,2228610.0,-0.5061175845367346,-5395828.234110781,-233.90143287441805,-138.88453733835115,-556703.1987349705,200.1557065629154,45.89774945847419,998.4208609080538,199.09,205.91096767328509,192.26903232671492,6.852144932728999,0.13055095395484767,0.0,0.0,200.17000000000002,206.32999999999998,194.01000000000002,6.154768446820185,0.00324675324675261,0.0,0.0,193.15,207.2,200.175,7.057109849816658,0.06405693950177985,0.0,0.0,-0.5031945551762647,-0.042279121590581406,-0.46091543358568327,199.09,199.09,199.15010853961695,199.65330309479322,0.30957299621556417,0.520988700948145,-0.2114157047325808,-0.00202560004587822,4.84778313876544,34.60822150363765,-148.08936619613493,-142.2784533391072,-5.810912857027745,200.175,200.175,200.175,200.175,0.0,0.0,0.0,0.0,-117.14918525549793,232.27075586095378,230.57471705739664,12.0,20.0,-8.0,198.75,207.2,0.0,0.0,22.222482459104654,0.0,0.0,0.0,84.92721622009641,21.01910828025479,6.405693950177985,25.61602402828797,-93.59430604982201,0.0,0.0,-0.2520341749304059,-0.021280491922192002,-0.23075368300821392,12.22774418322794,5.606649718473756,6.621094464754185,197.63749609055156,-1.1462047885888893,-1.1528243467500587,-2.9992501874531396
5,2017-07-25,194.6,196.05,193.0,194.35,7832948.0,INR,-23860790.10987278,10061558.0,-0.44849669318648155,-4289297.8578092605,-50.6195113257487,-121.23153213583066,-70473.88847912158,199.31810274618755,38.44641265840598,998.4208609080538,198.29999999999998,205.45914333795136,191.1408566620486,7.220517738730588,0.22412900443963596,0.0,0.0,199.21944444444443,204.8611111111111,193.57777777777778,5.663771106680223,0.0684391925160012,0.0,0.0,193.0,207.2,200.1,7.160867372667671,0.09507042253521095,0.0,0.0,-0.8488355257594549,-0.2035904024243561,-0.6452451233350988,198.29999999999998,198.29999999999998,198.4116303027528,199.26046582851225,0.3407917972381753,0.5834164022976728,-0.24262460505949746,-0.012138879142025058,5.761161740343711,35.39822150363767,-151.46979414683588,-143.81034347372864,-7.659450673107244,200.1,200.1,200.1,200.1,0.0,0.0,0.0,0.0,-96.25879043600553,232.27075586095378,230.57471705739664,12.0,20.0,-8.0,198.75,206.63799999999998,0.0,0.0,24.46307388622232,0.0,0.0,0.0,78.89670534017182,23.076923076923066,9.507042253521094,12.019752116739753,-90.49295774647891,-0.4891666666666765,0.0,-0.42599294457636194,-0.102222982453026,-0.323769962123336,11.114184686992663,6.708156712177537,4.406027974815126,196.39075831366526,0.15459933006956028,0.1544799483316872,-2.849287678080492
6,2017-07-26,196.2,197.8,194.9,195.6,10645929.0,INR,-29367305.109872874,20707487.0,-0.45995915416373,-1775482.2709793663,49.713838970746636,-92.7406369514011,80581.05765649435,198.78151760442861,49.64949186309264,998.4208609080538,197.91428571428574,204.8064581451182,191.02211328345328,6.9648054014475544,0.3321076745024052,0.0,0.0,198.77380952380955,204.0238095238095,193.52380952380955,5.282386057375548,0.1977324263038532,0.0,0.0,193.0,207.2,200.1,7.174823155767281,0.18309859154929553,0.0,0.0,-1.0102484169484285,-0.36492200532917063,-0.6453264116192579,197.91428571428574,197.91428571428574,197.97907179463698,198.9893202115854,0.3956233527185122,0.5703633039192316,-0.17473995120071945,-0.02273673914729083,6.6133626722656125,35.783935789351915,-153.120274339764,-145.14033359744798,-7.979940742316018,200.1,200.1,200.1,200.1,0.0,0.0,0.0,0.0,-55.64521837615935,232.27075586095378,230.57471705739664,12.0,20.0,-8.0,198.75,205.81972,0.0,0.0,33.10967351393073,0.0,0.0,0.0,74.28196855465991,24.27440633245381,18.30985915492955,11.407531786209544,-81.69014084507046,-1.133571428571429,0.0,-0.5076897674077337,-0.18331633944396758,-0.32437342796376617,12.867797352383706,7.940084840218772,4.927712512164934,196.09696696269387,0.6431695394906178,0.6411100302485373,-2.2244438890277496
7,2017-07-27,196.2,197.9,190.15,195.85,15756955.0,INR,-21946287.59374389,36464442.0,-0.27569122637729104,-959093.5536965997,-114.35426451367044,-95.82829803172531,88610.62993688522,197.9604248602895,39.17522007684587,998.4208609080538,197.65625,204.24628746195728,191.06621253804272,6.668180198660331,0.3629560142543151,0.0,0.0,198.25625,203.81875,192.69375000000002,5.611424608303634,0.2837078651685375,0.0,0.0,190.15,207.2,198.675,8.62608695652173,0.33431085043988235,0.0,0.0,-1.10525568592044,-0.5129887414474246,-0.5922669444730155,197.65625,197.65625,197.65152228776975,198.7567779736902,0.39472853112060524,0.6140973888960359,-0.2193688577754307,-0.032919655422463216,7.56010325448542,36.041971503637654,-154.2244150243849,-146.27584377581508,-7.948571248569834,198.675,198.675,198.675,198.675,0.0,0.0,0.0,0.0,-75.68685055220067,232.27075586095378,230.57471705739664,12.0,20.0,-8.0,198.75,205.0505368,0.0,0.0,34.719156819709625,0.0,0.0,0.0,70.62371000944097,35.87604516151605,33.43108504398824,20.415995484146297,-66.56891495601177,-2.616250000000008,0.0,-0.5560845256138862,-0.2578699766779513,-0.2982145489359349,18.377594339656593,10.027586740106337,8.350007599550256,196.0050226984779,0.1278118609406853,0.1277302511122791,-2.099475131217199
8,2017-07-28,194.95,195.8,190.1,191.25,6750640.0,INR,-25972985.137603536,29713802.0,-0.30076909685800546,-5258215.0460256515,-90.76917151559014,-95.1959072172084,-138415.4732481322,197.52444737202876,35.962439582410795,974.9705879431467,196.94444444444446,204.34826394588268,189.54062494300624,7.518688351248969,0.11543873109424879,0.0,0.0,197.6037037037037,203.18148148148146,192.02592592592592,5.645418252019558,-0.06955511288180552,0.0,1.0,190.1,207.2,198.64999999999998,8.682651622002817,0.06725146198830445,0.0,0.0,-1.5340476409734833,-0.7172005213526365,-0.8168471196208469,196.94444444444446,196.94444444444446,196.66667270503595,198.20072034600943,0.43719569787636053,0.6677284868427749,-0.23053278896641433,-0.046821266454627454,8.516108206757657,36.7537770591932,-157.27024717054218,-147.497444153007,-9.772803017535182,198.64999999999998,198.64999999999998,198.64999999999998,198.64999999999998,0.0,0.0,0.0,0.0,-103.02107443050328,232.27075586095378,230.57471705739664,12.0,36.0,-24.0,198.75,203.858493856,0.0,0.0,23.509906478706355,0.0,0.0,0.0,63.536008922397414,32.79856873326775,6.725146198830445,19.48869679924941,-93.27485380116956,-3.198333333333352,0.0,-0.7739869150300844,-0.3610933643483779,-0.4128935506817065,14.46430979223044,10.914931350531159,3.5493784416992806,194.20348732138342,-2.3487362777635967,-2.3767587405195023,-4.398900274931272
9,2017-07-31,192.4,194.8,189.75,193.35,9598130.0,INR,-21886652.563346162,39311932.0,-0.22809677646673973,-1627602.468021995,-35.51473047354009,-88.56466535680082,-53163.49928867142,197.03519355736594,42.65746419392436,974.9705879431467,196.58499999999998,203.93252339227308,189.23747660772688,7.475161779660813,0.27985779511760267,0.0,0.0,197.10666666666665,202.63166666666666,191.58166666666665,5.6061016031928625,0.16003016591251976,0.0,0.0,189.75,207.2,198.475,8.876567388152703,0.20630372492836657,5.644999999999999,0.0,-1.6849923619868434,-0.9107588894794779,-0.7742334725073655,196.58499999999998,196.58499999999998,196.15641536579966,197.8414077277865,0.4666370928809478,0.6993649594570153,-0.23272786657606748,-0.060485794709810456,9.462098444504203,37.113221503637675,-158.80831811576263,-149.14486790113338,-9.66345021462925,198.475,198.475,198.475,198.475,0.0,0.0,0.0,0.0,-86.74293840087907,232.27075586095378,230.57471705739664,12.0,36.0,-24.0,198.75,202.4826444704,0.0,0.0,33.987878529482884,0.0,0.0,0.0,58.38833041638725,38.05258455745608,20.630372492836656,20.262201245218446,-79.36962750716334,-3.342500000000001,0.0,-0.8516884212152666,-0.45921237572175566,-0.3924760454935109,13.71720221816245,11.475385524057417,2.241816694105033,193.87619375454202,1.098039215686275,1.092054534666076,-3.349162709322673
