,Date,Open,High,Low,Close,Volume,Currency,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr
0,2017-07-18,301.75,306.0,301.5,303.9,11772154.0,INR,784810.2666665477,11772154.0,0.06666666666665656,0.0,0.0,0.0,-4071923.247239788,303.8,50.0,1000.0,303.9,303.9,303.9,0.0,0.0,0.0,0.0,303.8,308.3,299.3,2.9624753127057275,0.5111111111111073,0.0,0.0,301.5,306.0,303.75,1.4807502467917077,0.5333333333333283,0.0,0.0,0.0,0.0,0.0,303.9,303.9,303.9,303.9,0.0,0.0,0.0,-34.3032081165022,1.0,165.8292239288599,-353.03152429361006,-353.03152429361006,0.0,303.75,303.75,303.75,303.75,0.0,0.0,0.0,0.0,0.0,466.28770210185996,460.1746564268398,4.0,4.0,0.0,296.2,306.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,53.33333333333283,53.33333333333283,-46.66666666666717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.9,-35.303152429361006,0.0,0.0
1,2017-07-19,303.0,304.9,301.4,302.25,10780451.0,INR,-4759421.6761904545,991703.0,-0.2110364490572355,-17787744.149999756,-19.47970451329058,-19.47970451329058,-4214473.040927963,303.34588711813996,0.0,994.5705824284304,303.075,304.72499999999997,301.425,1.0888393961890472,0.25,0.0,0.0,303.325,307.325,299.325,2.6374350943707245,0.3656250000000014,0.0,0.0,301.4,306.0,303.7,1.5177761280211244,0.18478260869565621,0.0,0.0,-0.13162393162394892,-0.026324786324789785,-0.10529914529915914,303.075,303.075,303.6461538461538,303.77777777777777,0.019798610406627427,0.026786355256025657,-0.006987744849398229,-0.0010604331194621504,1.9641255605381165,166.6542239288599,-354.787855298736,-353.90968979617304,-0.8781655025629789,303.7,303.7,303.7,303.7,0.0,0.0,0.0,0.0,-66.66666666666667,466.28770210185996,460.1746564268398,4.0,8.0,-4.0,296.2,306.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,10.625000000000284,18.47826086956562,35.905797101449224,-81.52173913043438,0.0,0.0,-0.043329019188571335,-0.008665803837714267,-0.03466321535085707,-0.6762311016924384,-0.13524622033848768,-0.5409848813539507,303.2573602458192,-0.5429417571569561,-0.5444210427845597,-0.5429417571569561
2,2017-07-20,302.0,303.85,299.75,300.6,8458004.0,INR,-9710448.407897696,-7466301.0,-0.3131331089917549,-17240310.214285478,-65.44097165241222,-42.4603380828514,-104704.29663971206,302.81515516673664,0.0,989.1411648568609,302.25,304.9444387170615,299.5555612829385,1.7829205737379474,0.19381378215210437,0.0,0.0,302.68333333333334,306.7166666666667,298.65000000000003,2.6650514839491204,0.24173553719008134,0.0,0.0,299.75,306.0,302.875,2.0678246484698097,0.13600000000000365,0.0,0.0,-0.3648720383762907,-0.09403423673508995,-0.27083780164120075,302.25,302.25,303.1775147928994,303.5423868312757,0.033270919755449296,0.05545153292574861,-0.02218061317029931,-0.0038441108222091363,2.927926465515493,167.47922392885988,-356.5441863038619,-354.787855298736,-1.756331005125901,302.875,302.875,302.875,302.875,0.0,0.0,0.0,0.0,-100.00000000000001,466.28770210185996,460.1746564268398,4.0,12.0,-8.0,296.2,306.0,0.0,1.0,0.0,0.0,0.0,0.0,-100.0,14.049586776859854,13.600000000000364,28.47053140096627,-86.39999999999964,0.0,0.0,-0.12020464165985001,-0.030973571402141416,-0.0892310702577086,-2.8402666985957907,-0.6762503159899483,-2.1640163826058423,302.19283981260196,-0.545905707196026,-0.547401217602772,-1.0858835143139012
3,2017-07-21,299.5,303.9,296.2,302.05,9705981.0,INR,-4668380.355949565,2239680.0,-0.11465548455677564,-12766884.119387569,-138.83192229616148,-74.5841994872881,645.8777405489454,302.3149195254318,0.0,989.1411648568609,302.2,304.5398717913595,299.8601282086405,1.5485584324020418,0.4679469617622028,0.0,0.0,302.19166666666666,307.14166666666665,297.2416666666667,3.2760665140777023,0.48569023569023717,0.0,0.0,296.2,306.0,301.1,3.242885506287231,0.5969387755102057,0.0,0.0,-0.427788679981461,-0.16078512538436418,-0.2670035545970968,302.2,302.2,303.00405097860715,303.4318396585886,0.05448723525293295,0.09480778934010352,-0.04032055408717057,-0.006723435560484671,4.021262155810703,167.5292239288599,-356.65063060720286,-355.2535491258527,-1.397081481350142,301.1,301.1,301.1,301.1,0.0,0.0,0.0,0.0,-86.76470588235486,466.28770210185996,460.1746564268398,4.0,12.0,-8.0,296.2,305.875,0.0,0.0,32.91828343082193,0.0,0.0,0.0,-98.06602200733576,38.131313131313455,59.69387755102057,30.590712806862186,-40.30612244897943,0.0,0.0,-0.14098345132890291,-0.052975547387493716,-0.0880079039414092,-3.664984725663966,-1.273997197924752,-2.390987527739214,302.13238801640375,0.4823685961410584,0.4812089265875841,-0.6087528792365848
4,2017-07-24,302.2,306.6,301.6,303.05,15604131.0,INR,-11222115.375949636,17843811.0,-0.19925375912623058,-8713881.95947506,129.7733273323596,-23.494817782376167,98479.35913333038,302.71252068044373,35.18068016716296,989.1411648568609,302.37,304.5705453869439,300.16945461305613,1.4555315586492525,0.6545071517348692,0.0,0.0,302.50333333333333,307.4633333333333,297.54333333333335,3.2793027074081693,0.5551075268817222,0.0,0.0,296.2,306.6,301.4,3.439494658861671,0.6586538461538461,0.0,0.0,-0.39243518061243776,-0.20711513642997892,-0.18532004418245884,302.37,302.37,303.01112005882146,303.4035552394339,0.10820603604509518,0.10449308382786128,0.003712952217233903,-0.008887558350313704,5.096333272163995,167.35922392885988,-356.28871997584355,-355.4605832958509,-0.8281366799926673,301.4,301.4,301.4,301.4,0.0,0.0,0.0,0.0,71.89542483660182,466.28770210185996,460.1746564268398,4.0,12.0,-8.0,296.2,305.875,1.0,0.0,46.096845903540945,0.0,0.0,0.0,-95.19750075522576,36.29032258064537,65.86538461538461,46.38642072213518,-34.13461538461538,0.0,0.0,-0.12934429206102865,-0.06824929632220071,-0.06109499573882794,-0.08820430496679817,-1.0368386193331611,0.9486343143663629,302.5395653697862,0.33107101473266454,0.3305241812544324,-0.27969726883841917
5,2017-07-25,306.8,306.8,301.8,304.15,18129742.0,INR,-12309899.895949883,35973553.0,-0.16534349686918512,-4620082.222407284,5.515798294316285,-17.692694567037677,117467.4408673199,303.08691866630835,54.009979860112416,989.1411648568609,302.6666666666667,305.0740626780357,300.25927065529766,1.5907903158826193,0.8080783814395692,0.0,0.0,302.7944444444444,307.7611111111111,297.8277777777778,3.280553364035009,0.6364653243847844,0.0,0.0,296.2,306.8,301.5,3.502202643171813,0.7499999999999973,0.0,0.0,-0.2725150864559964,-0.2201951264351824,-0.052319960020814016,302.6666666666667,302.6666666666667,303.1863323574643,303.4588474439203,0.1322797636464993,0.12659586755231367,0.005683896094185625,-0.00975526672740674,6.156902061198201,167.0625572621932,-355.65715044268717,-355.4933444869903,-0.16380595569688694,301.5,301.5,301.5,301.5,0.0,0.0,0.0,0.0,83.8400000000011,466.28770210185996,460.1746564268398,24.0,12.0,12.0,296.2,305.875,0.0,0.0,56.27313778071645,0.0,0.0,0.0,-91.4463760354566,38.087248322147715,74.99999999999973,66.85308738880164,-25.000000000000266,-0.17833333333334167,0.0,-0.08980297946539774,-0.07256003295084013,-0.017242946514557614,4.194103059708401,0.00934971647515126,4.1847533432332495,303.28755563659365,0.362976406533555,0.3623192369420103,0.08226390259953309
6,2017-07-26,306.8,311.0,304.55,310.35,26050716.0,INR,8490284.197073547,62024269.0,0.08447944871446282,19113420.83793678,86.03890196338529,-0.4040951453005164,596842.1593116177,304.52459407217503,67.69044708117825,989.1411648568609,303.7642857142857,309.585113904185,297.94345752438636,3.832463830441387,1.0657025143898173,1.0,0.0,303.62857142857143,308.8071428571429,298.45,3.411122612214182,1.148965517241379,1.0,0.0,296.2,311.0,303.6,4.872198838385031,0.9560810810810827,0.0,0.0,0.3191318828854719,-0.11232972457105157,0.43146160745652345,303.7642857142857,303.7642857142857,304.2884350717006,303.9693031888151,0.17367069957489684,0.13349687395484164,0.0401738256200552,-0.005712111791324974,7.253636871287224,165.9649382145742,-353.3204445455355,-355.18293020963955,1.8624856641040424,303.6,303.6,303.6,303.6,0.0,0.0,0.0,0.0,197.29149906140967,466.28770210185996,460.1746564268398,28.000000000000004,12.0,16.000000000000004,296.62399999999997,305.875,0.0,0.0,79.62337551058287,0.0,0.0,0.0,-80.69766073247305,47.885402455661804,95.60810810810827,78.82449757449754,-4.391891891891735,0.04428571428564965,0.0,0.10498819437936413,-0.037050387484799274,0.1420385818641634,11.713243231426436,2.350128419465408,9.363114811961028,306.29480383903444,2.0384678612526796,2.017969209294712,2.1224086870681225
7,2017-07-27,314.45,314.45,305.35,307.2,28535868.0,INR,-8443088.022706842,33488401.0,-0.06543150373479054,3541791.546802819,67.7655924116271,9.334431648546285,241401.24032342428,305.5143066839557,75.63805400347641,989.1411648568609,304.19375,310.0938426899499,298.29365731005015,3.8791675962769596,0.7547629467856298,0.0,0.0,304.3,309.96875,298.63125,3.7257640486362065,0.7557883131201749,0.0,0.0,296.2,314.45,305.325,5.999465800990322,0.6027397260273972,0.0,0.0,0.5277540738751441,0.015687035118187545,0.5120670387569565,304.19375,304.19375,304.7363681375928,304.2086140637177,0.21338631660760934,0.1546692764672604,0.05871704014034895,-0.0005656675232727805,8.448912833390397,165.53547392885986,-352.4061640114818,-354.83583443486987,2.4296704233880746,305.325,305.325,305.325,305.325,0.0,0.0,0.0,0.0,138.74538745387557,466.28770210185996,460.1746564268398,28.000000000000004,12.0,16.000000000000004,297.48655999999994,305.875,0.0,0.0,61.61954142505022,0.0,0.0,0.0,-73.01969891371824,45.047760982187285,60.273972602739725,76.96069357028257,-39.726027397260275,0.8718750000000455,0.0,0.17348426358650182,0.005056542729460944,0.16842772085704089,17.702490761405546,5.4206008878534355,12.28188987355211,306.6701417047493,-1.014983083615284,-1.0201691586144257,1.0858835143139123
8,2017-07-28,304.0,304.0,293.85,296.15,30571846.0,INR,-25159713.175416447,2916555.0,-0.15763352970198502,-45224021.28845478,-364.3752817543295,-37.379282526813185,-1389305.125866434,304.0749994973651,60.310109810192785,989.1411648568609,303.29999999999995,310.8169438234195,295.78305617658043,4.956771396913633,0.0244077800792065,0.0,0.0,303.6,309.76666666666665,297.43333333333334,4.062362758014925,-0.10405405405405636,0.0,1.0,293.85,314.45,304.15,6.791955159907672,0.11165048543689118,0.0,0.0,-0.19629126451047796,-0.02670862480754556,-0.16958263970293241,303.29999999999995,303.29999999999995,303.415388424117,303.6116796886275,0.20666050524280366,0.23785031005143495,-0.03118980480863129,-0.002004654293032462,9.716569449996886,166.42922392885993,-354.3088559337016,-354.7772812680734,0.46842533437182965,304.15,304.15,304.15,304.15,0.0,0.0,0.0,0.0,-146.9387755102043,466.28770210185996,460.1746564268398,28.000000000000004,36.0,-7.9999999999999964,297.48655999999994,314.45,0.0,1.0,33.23236933401128,0.0,0.0,0.0,-69.32893215347796,39.051668230048406,11.165048543689117,55.68237641817904,-88.83495145631088,1.25,0.0,-0.06465207949568566,-0.008885181715568378,-0.055766897780117286,22.189294253902066,8.774339561063162,13.414954692838904,302.31456329663615,-3.597005208333337,-3.663291855054318,-2.5501809805857145
9,2017-07-31,298.85,306.45,296.25,302.6,21526492.0,INR,-19883612.195024163,24443047.0,-0.1097721033083854,-18928322.047246814,114.90492737971333,-20.458814759421347,-630834.5822502584,303.80067259976107,65.32101859198238,1010.6841684473616,303.23,310.37355653718794,296.0864434628121,4.71164234224049,0.4559043176378361,0.0,0.0,303.41666666666663,309.9866666666667,296.8466666666667,4.330678385059046,0.4378488077118216,0.0,0.0,293.85,314.45,304.15,6.793523068297979,0.42475728155339876,6.939999999999998,0.0,-0.2467964012569155,-0.07072618009741954,-0.17607022115949594,303.23,303.23,303.28994405117595,303.53674045243287,0.2515772111775108,0.2605850908616159,-0.009007879684105102,-0.003643079634684373,11.00695454811879,166.49922392885986,-354.457877958379,-354.9357650086033,0.47788705022429667,304.15,304.15,304.15,304.15,0.0,0.0,0.0,0.0,-44.534412955463466,466.28770210185996,460.1746564268398,28.000000000000004,36.0,-7.9999999999999964,297.48655999999994,314.45,0.0,0.0,48.22575100777337,0.0,0.0,0.0,-60.89407938519924,43.76115897420425,42.47572815533987,37.97158310058958,-57.52427184466013,0.9399999999999977,0.0,-0.08130692873918861,-0.023369531120292424,-0.057937397618896186,21.263576277827127,11.272186904415957,9.99138937341117,302.42645697669957,2.177950362991732,2.1545718631281296,-0.42777229351759205
